"","coefficients.Estimate","coefficients.Std..Error","coefficients.t.value","coefficients.Pr...z.."
"(Intercept)",0.534477481175635,0.0437731694621109,12.2101617895928,2.74343087684546e-34
"c_SOA",-0.0717731311845289,0.0235900942000354,-3.04251142771703,0.00234612908875465
"is_onset",0.0348441780935278,0.00661084869133936,5.27075716302144,1.35862123229381e-07
"is_task_relevant",0.00248724142947523,0.00637053916653197,0.390428716385908,0.696219556805757
"c_SOA:is_onset",-0.139959302945503,0.0341646609400066,-4.09661033051881,4.19243722079775e-05
"c_SOA:is_task_relevant",0.00181178835077362,0.0334478103825671,0.054167622037164,0.956801616668014
"is_onset:is_task_relevant",0.0401876116406795,0.00957762877627679,4.19598760605775,2.71685104036424e-05
"c_SOA:is_onset:is_task_relevant",-0.0705894236747101,0.0496640123688643,-1.42133952348491,0.155218078681521
